NI RH RM RS V DG DM DS
1 0 8 27 + 27 43 9
2 0 11 1 - 12 49 20
3 0 12 6 - 0 24 53
4 0 13 27 + 17 29 9
5 0 17 35 - 9 32 34
6 0 18 55 - 3 16 34
7 0 18 53 + 10 35 43
8 0 19 3 - 3 13 19
9 0 19 44 - 14 7 17
10 0 20 25 + 59 17 33
11 0 52 54 + 56 37 30
12 0 20 15 - 2 39 12
13 0 20 20 + 7 42 2
14 0 22 31 + 10 29 25
15 0 27 58 - 0 3 41
16 0 28 8 - 13 5 39
17 0 28 30 + 2 38 55
18 0 28 35 - 11 35 11
19 0 28 39 - 11 38 25
20 0 28 40 - 13 0 35
21 0 29 10 - 0 9 49
22 0 29 33 - 9 4 49
23 0 30 51 - 12 43 11
24 0 31 17 + 30 50 26
25 0 31 12 - 0 24 27
26 0 31 46 - 13 20 16
27 0 33 6 - 13 22 16
28 0 33 9 - 13 27 21
29 0 34 11 - 2 10 37
30 0 34 15 - 2 5 5
31 0 34 25 + 12 16 7
32 0 35 2 - 2 8 28
33 0 35 5 - 2 8 16
34 0 35 36 + 9 7 30
35 0 37 40 + 10 21 27
36 0 37 50 - 15 26 27
37 0 38 34 - 15 21 31
38 0 38 39 - 15 25 9
39 0 39 8 - 14 10 20
40 0 39 21 + 2 27 22
41 0 39 40 - 14 10 26
42 0 41 6 - 15 25 42
43 0 42 22 + 29 38 31
44 0 42 16 + 0 50 46
45 0 42 37 + 29 39 21
46 0 42 58 + 27 15 14
47 0 42 55 - 13 44 25
48 0 43 34 - 8 11 8
49 0 43 56 + 1 51 2
50 0 46 6 - 9 30 12
51 0 46 24 - 13 26 29
52 0 48 24 + 4 5 31
53 0 50 41 + 10 36 3
54 0 50 47 - 2 17 19
55 0 51 42 + 7 43 9
56 0 51 30 - 12 50 40
56 0 51 51 - 12 46 1
57 0 54 48 + 11 50 30
58 0 55 2 - 13 40 39
59 0 57 29 + 61 8 37
60 0 56 4 - 13 21 27
61 0 57 7 + 7 30 26
62 0 58 44 + 11 48 30
63 0 59 29 + 60 54 40
64 0 59 24 + 27 3 34
65 1 0 55 + 47 40 54
66 1 0 32 + 30 47 48
67 1 0 18 - 6 54 39
68 1 0 22 - 6 56 39
69 1 1 24 + 31 2 28
70 1 1 4 + 0 3 5
71 1 1 19 - 6 46 2
72 1 1 35 - 6 46 41
73 1 4 53 + 4 46 2
74 1 5 56 + 4 5 27
75 1 7 12 + 10 50 14
76 1 8 12 - 4 33 16
77 1 8 44 - 15 25 15
78 1 8 48 - 15 50 41
79 1 8 50 - 15 56 54
80 1 8 51 - 15 24 23
80 1 8 50 - 15 24 13
81 1 9 22 - 1 41 42
82 1 9 6 - 16 0 1
83 1 10 30 + 1 41 21
84 1 11 26 + 1 38 27
85 1 11 50 - 0 27 9
86 1 13 28 - 16 14 28
87 1 14 16 + 0 45 57
88 1 14 31 + 0 47 30
89 1 16 4 + 4 17 40
90 1 16 30 - 7 58 36
91 1 18 39 + 2 33 15
92 1 19 48 + 32 46 2
93 1 19 2 - 17 3 40
94 1 20 6 + 32 43 2
95 1 19 18 - 12 34 25
96 1 20 33 + 29 36 59
97 1 20 2 + 14 51 42
98 1 20 55 - 12 36 15
99 1 22 27 - 12 57 9
100 1 22 54 - 4 38 33
101 1 24 9 + 9 55 50
102 1 24 26 + 9 53 14
103 1 24 36 + 2 2 41
104 1 24 33 - 1 27 21
105 1 24 46 + 2 4 30
106 1 24 42 - 1 35 13
107 1 25 25 + 14 51 53
108 1 24 39 - 12 38 8
109 1 25 13 + 2 4 3
110 1 25 50 + 33 31 36
111 1 25 49 + 33 30 16
112 1 26 3 + 11 26 35
113 1 26 26 + 19 11 31
114 1 26 23 + 9 54 37
115 1 26 55 + 19 12 52
116 1 26 51 - 4 58 56
117 1 27 21 - 1 51 52
118 1 27 36 - 4 59 49
119 1 27 55 - 2 2 24
120 1 28 13 - 1 54 54
121 1 28 22 + 2 30 46
122 1 28 13 - 14 50 20
123 1 28 51 + 2 26 49
124 1 29 9 - 1 56 13
125 1 29 18 - 13 16 46
126 1 29 48 - 1 59 0
127 1 29 47 - 6 58 47
128 1 31 24 - 12 37 28
129 1 31 31 - 12 39 14
130 1 31 29 - 15 35 28
131 1 33 11 + 30 45 10
132 1 33 16 + 30 56 42
133 1 33 16 + 30 53 5
134 1 33 25 + 30 53 58
135 1 34 16 + 30 37 10
136 1 34 14 + 30 33 40
137 1 33 39 + 30 31 23
138 1 33 2 - 0 41 23
139 1 33 59 + 30 34 33
140 1 33 58 + 30 33 2
141 1 32 52 - 14 48 53
142 1 33 56 + 30 45 22
143 1 34 11 + 30 46 41
144 1 37 41 - 13 18 51
145 1 38 39 + 0 44 29
146 1 38 40 - 17 49 52
147 1 39 59 - 14 51 46
148 1 42 27 + 13 58 36
149 1 42 26 - 16 18 0
150 1 42 58 + 4 11 57
151 1 43 57 + 13 12 9
152 1 44 1 + 13 4 28
153 1 44 36 + 12 37 4
154 1 45 16 + 10 38 59
155 1 47 32 + 60 36 42
156 1 45 29 + 10 33 12
157 1 45 42 + 12 52 24
158 1 45 53 - 6 56 7
159 1 46 25 - 8 38 12
160 1 46 30 - 13 14 50
161 1 48 44 + 10 30 30
162 1 48 53 + 10 31 20
163 1 49 15 + 20 42 38
164 1 49 8 - 3 54 16
165 1 50 14 + 27 38 46
166 1 52 22 + 61 51 12
167 1 51 9 + 21 54 45
168 1 50 28 - 8 31 25
169 1 50 39 - 12 40 45
170 1 51 57 - 8 31 2
171 1 55 10 + 35 16 55
172 1 54 54 + 0 48 42
173 1 55 57 + 1 17 5
174 1 56 16 + 3 45 45
175 1 56 19 + 1 19 57
176 1 56 54 - 2 1 8
177 1 57 1 - 0 5 21
178 1 58 55 + 36 40 30
179 2 0 12 + 38 1 17
180 2 0 0 + 23 36 18
181 2 0 2 + 23 39 33
182 1 59 52 + 7 24 44
183 1 59 34 - 5 20 50
184 1 59 51 - 6 50 26
185 2 0 6 - 1 31 40
186 2 0 24 - 1 33 12
186 2 0 25 - 1 33 2
187 2 1 31 + 26 28 52
187 2 1 34 + 26 29 5
188 2 1 51 + 27 2 40
189 2 1 53 + 23 33 4
190 2 2 7 + 23 33 1
191 2 2 29 + 18 22 22
192 2 2 32 + 16 0 51
193 2 2 31 + 11 5 35
194 2 3 5 + 2 36 50
195 2 3 45 + 14 42 33
196 2 3 50 + 14 44 21
197 2 4 5 + 2 47 12
198 2 6 3 + 9 17 46
199 2 6 19 + 9 13 38
200 2 5 27 + 31 10 32
201 2 7 15 + 9 6 56
202 2 7 29 + 9 10 7
203 2 7 30 + 9 7 23
204 2 7 27 - 1 25 47
205 2 7 28 - 2 5 31
206 2 9 31 - 6 58 8
207 2 9 39 - 6 55 21
208 2 8 28 + 6 23 41
209 2 8 59 - 7 3 33
210 2 9 28 - 9 40 47
211 2 11 8 + 3 51 7
212 2 13 38 + 16 35 40
213 2 14 4 + 16 27 22
214 2 14 6 + 5 10 34
215 2 14 9 - 6 48 22
216 2 15 55 - 2 0 53
217 2 16 11 - 11 55 32
218 2 17 7 + 1 16 57
219 2 18 39 - 6 54 11
220 2 19 12 - 12 46 53
221 2 22 41 + 28 15 25
222 2 22 48 + 11 38 19
223 2 22 1 - 20 44 45
224 2 24 45 - 12 33 50
225 2 26 28 + 1 9 39
226 2 27 46 + 28 12 32
227 2 28 3 + 28 10 32
228 2 26 42 - 14 30 57
229 2 27 23 - 23 49 12
230 2 28 47 - 10 49 54
231 2 29 56 + 1 10 46
232 2 31 12 + 1 15 58
233 2 31 41 + 2 48 38
234 2 31 38 - 0 8 22
235 2 32 51 + 20 38 29
236 2 32 56 - 0 7 51
237 2 33 32 + 1 8 23
238 2 35 23 + 12 50 18
239 2 36 28 + 38 58 8
240 2 38 58 + 41 43 10
