NI RH RM RS V DG DM DS
1 5 34 30 + 22 01 0
2 21 33 30 - 00 49 0
3 13 42 12 + 28 23 0
4 16 23 36 - 26 32 0
5 15 18 36 + 02 05 0
6 17 40 6 - 32 13 0
7 17 53 54 - 34 49 0
8 18 03 48 - 24 23 0
9 17 19 12 - 18 31 0
10 16 57 6 - 04 06 0
11 18 51 6 - 06 16 0
12 16 47 12 - 01 57 0
13 16 41 42 + 36 28 0
14 17 37 36 - 03 15 0
15 21 30 0 + 12 10 0
16 18 18 48 - 13 47 0
17 18 20 48 - 16 11 0
18 18 19 54 - 17 08 0
19 17 02 36 - 26 16 0
20 18 02 36 - 23 02 0
21 18 04 36 - 22 30 0
22 18 36 24 - 23 54 0
23 17 56 48 - 19 01 0
24 18 16 54 - 18 29 0
25 18 31 36 - 19 15 0
26 18 45 12 - 09 24 0
27 19 59 36 + 22 43 0
28 18 24 30 - 24 52 0
29 20 23 54 + 38 32 0
30 21 40 24 - 23 11 0
31 0 42 42 + 41 16 0
32 0 42 42 + 40 52 0
34 2 42 0 + 42 47 0
35 6 08 54 + 24 20 0
36 5 36 6 + 34 08 0
37 5 52 24 + 32 33 0
38 5 28 24 + 35 50 0
39 21 32 12 + 48 26 0
40 12 22 24 + 58 05 0
41 6 47 0 - 20 44 0
42 5 35 24 - 05 27 0
43 5 35 36 - 05 16 0
44 8 40 6 + 19 59 0
45 3 47 0 + 24 07 0
46 7 41 48 - 14 49 0
47 7 36 36 - 14 30 0
48 8 13 48 - 05 48 0
49 12 29 48 + 08 00 0
50 7 03 12 - 08 20 0
51 13 29 54 + 47 12 0
52 23 24 12 + 61 35 0
53 13 12 54 + 18 10 0
54 18 55 6 - 30 29 0
55 19 40 0 - 30 58 0
56 19 16 36 + 30 11 0
57 18 53 36 + 33 02 0
58 12 37 42 + 11 49 0
59 12 42 0 + 11 39 0
60 12 43 42 + 11 33 0
61 12 21 54 + 04 28 0
62 17 01 12 - 30 07 0
63 13 15 48 + 42 02 0
64 12 56 42 + 21 41 0
65 11 18 54 + 13 05 0
66 11 20 12 + 12 59 0
67 8 50 24 + 11 49 0
68 12 39 30 - 26 45 0
69 18 31 24 - 32 21 0
70 18 43 12 - 32 18 0
71 19 53 48 + 18 47 0
72 20 53 30 - 12 32 0
73 20 58 54 - 12 38 0
74 1 36 42 + 15 47 0
75 20 06 6 - 21 55 0
76 1 42 24 + 51 34 0
77 2 42 42 - 00 01 0
78 5 46 42 + 00 03 0
79 5 24 30 - 24 33 0
80 16 17 0 - 22 59 0
81 9 55 36 + 69 04 0
82 9 55 48 + 69 41 0
83 13 37 0 - 29 52 0
84 12 25 6 + 12 53 0
85 12 25 24 + 18 11 0
86 12 26 12 + 12 57 0
87 12 30 48 + 12 24 0
88 12 32 0 + 14 25 0
89 12 35 42 + 12 33 0
90 12 36 48 + 13 10 0
91 12 35 24 + 14 30 0
92 17 17 6 + 43 08 0
93 7 44 36 - 23 52 0
94 12 50 54 + 41 07 0
95 10 44 0 + 11 42 0
96 10 46 48 + 11 49 0
97 11 14 48 + 55 01 0
98 12 13 48 + 14 54 0
99 12 18 48 + 14 25 0
100 12 22 54 + 15 49 0
101 14 03 12 + 54 21 0
102 15 06 30 + 55 46 0
103 1 33 12 + 60 42 0
104 12 40 0 - 11 37 0
105 10 47 48 + 12 35 0
106 12 19 0 + 47 18 0
107 16 32 30 - 13 03 0
108 11 11 30 + 55 40 0
109 11 57 36 + 53 23 0
110 0 40 24 + 41 41 0
