NI RH RM RS V DG DM DS
1 0 7 16 + 27 42 32
2 0 7 17 + 27 40 43
3 0 7 17 + 8 18 5
4 0 7 25 + 8 22 26
5 0 7 49 + 35 21 46
6 0 9 33 + 33 18 32
7 0 8 21 - 29 54 59
8 0 8 45 + 23 50 19
9 0 8 55 + 23 49 4
10 0 8 34 - 33 51 28
11 0 8 42 + 37 26 53
12 0 8 45 + 4 36 44
13 0 8 48 + 33 25 59
14 0 8 46 + 15 48 57
15 0 9 2 + 21 37 30
16 0 9 4 + 27 43 48
17 0 11 7 - 12 6 28
18 0 9 23 + 27 43 56
19 0 10 41 + 32 58 58
20 0 9 33 + 33 18 32
21 0 10 47 + 33 21 7
22 0 9 48 + 27 49 58
23 0 9 53 + 25 55 26
24 0 9 56 - 24 57 52
25 0 9 59 - 57 1 13
26 0 10 26 + 25 49 56
27 0 10 33 + 28 59 49
28 0 10 25 - 56 59 20
29 0 10 47 + 33 21 7
30 0 10 51 + 21 58 39
31 0 10 39 - 56 59 10
32 0 10 53 + 18 47 33
33 0 10 57 + 3 40 35
34 0 11 7 - 12 6 28
35 0 11 10 - 12 1 14
36 0 11 22 + 6 23 20
37 0 11 23 - 56 57 25
38 0 11 47 - 5 35 11
39 0 12 19 + 31 3 39
40 0 13 1 + 72 31 21
41 0 12 48 + 22 1 26
42 0 12 56 + 22 6 3
43 0 13 1 + 30 54 56
44 0 13 13 + 31 17 12
45 0 14 4 - 23 10 53
46 0 14 10 + 5 59 14
47 0 14 31 - 7 10 4
48 0 14 2 + 48 14 6
49 0 14 22 + 48 14 50
50 0 14 45 - 7 20 42
51 0 14 35 + 48 15 22
52 0 14 40 + 18 34 54
53 0 14 43 - 60 19 43
54 0 15 8 - 7 6 24
55 0 15 8 - 39 13 10
56 0 15 21 + 12 26 40
57 0 15 31 + 17 19 45
58 0 14 31 - 7 10 4
59 0 15 25 - 21 26 41
60 0 15 58 - 0 18 13
61 0 16 24 - 6 19 2
61 0 16 24 - 6 19 20
62 0 17 5 - 13 29 11
63 0 17 46 + 11 27 0
64 0 17 30 - 6 49 30
65 0 18 59 - 22 52 48
66 0 19 5 - 22 56 11
67 0 18 15 + 30 3 48
67 0 18 12 + 30 3 19
68 0 18 18 + 30 4 21
69 0 18 20 + 30 2 26
70 0 18 22 + 30 4 44
71 0 18 24 + 30 3 47
72 0 18 28 + 30 2 26
72 0 18 34 + 30 2 10
73 0 18 39 - 15 19 18
74 0 18 50 + 30 3 41
75 0 19 26 + 6 26 59
76 0 19 38 + 29 56 3
77 0 20 2 - 22 31 56
78 0 20 26 + 0 49 35
78 0 20 28 + 0 50 0
79 0 21 3 + 22 34 2
80 0 21 11 + 22 21 28
81 0 21 13 + 22 23 0
82 0 21 18 + 22 27 40
83 0 21 23 + 22 26 3
84 0 21 21 + 22 37 9
85 0 21 26 + 22 30 44
85 0 21 26 + 22 30 44
85 0 21 29 + 22 30 23
86 0 21 29 + 22 33 23
87 0 21 14 - 48 37 44
88 0 21 22 - 48 38 23
89 0 21 24 - 48 39 55
90 0 21 52 + 22 24 2
91 0 21 52 + 22 22 8
92 0 21 31 - 48 37 29
93 0 22 3 + 22 24 32
94 0 22 14 + 22 29 0
94 0 22 14 + 22 28 26
95 0 22 14 + 10 29 31
96 0 22 18 + 22 32 48
97 0 22 30 + 29 44 44
98 0 22 49 - 45 16 6
99 0 23 60 + 15 46 12
100 0 24 3 + 16 29 11
101 0 23 55 - 32 32 11
102 0 24 37 - 13 57 22
103 0 25 17 + 61 19 19
104 0 24 5 - 72 4 49
105 0 25 17 + 12 53 1
106 0 24 44 - 5 8 56
107 0 25 42 - 8 17 0
108 0 25 60 + 29 12 43
109 0 26 15 + 21 48 28
110 0 27 25 + 71 23 26
